Rk,Name,Tm,Age,G,GS,PassCmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,RushY/A,RushTD,RecTgt,Rec,RecYds,RecY/R,RecTD,Pos,FantPt,VBD,PosRank,OvRank
43,Heath Miller*,PIT,30,15,15,0,0,0,0,0,0,0,,0,101,71,816,11.49,8,TE,132,35,4,43
44,Steven Jackson,STL,29,16,16,0,0,0,0,0,258,1045,4.05,4,53,38,321,8.45,0,RB,163,32,16,44
45,Tony Romo,DAL,32,16,16,425,648,4903,28,19,30,49,1.63,1,1,1,-1,-1.00,0,QB,279,28,8,45
46,Russell Wilson*,SEA,24,16,16,252,393,3118,26,10,94,489,5.20,4,0,0,0,,0,QB,278,27,9,46
47,Michael Turner,ATL,30,16,16,0,0,0,0,0,222,800,3.60,10,30,19,128,6.74,1,RB,157,26,17,47
48,Andrew Luck*,IND,23,16,16,339,627,4374,23,18,62,255,4.11,5,0,0,0,,0,QB,276,26,10,48
49,Ahmad Bradshaw,NYG,26,14,12,0,0,0,0,0,221,1015,4.59,6,31,23,245,10.65,0,RB,156,26,18,49
50,Jason Witten*,DAL,30,16,16,0,0,0,0,0,0,0,,0,147,110,1039,9.45,3,TE,122,25,5,50
51,Matthew Stafford,DET,24,16,16,435,727,4967,20,17,35,126,3.60,4,1,1,3,3.00,0,QB,276,25,11,51
52,Randall Cobb,GNB,22,15,8,0,0,0,0,0,10,132,13.20,0,104,80,954,11.93,8,RB,155,24,19,52
53,Steve Smith,CAR,33,16,16,0,0,0,0,0,3,27,9.00,0,138,73,1174,16.08,4,WR,142,24,18,53
54,Lance Moore,NOR,29,15,7,0,0,0,0,0,0,0,,0,104,65,1041,16.02,6,WR,140,22,19,54
55,BenJarvus Green-Ellis,CIN,27,16,15,0,0,0,0,0,278,1094,3.94,6,30,22,104,4.73,0,RB,152,21,20,55
56,Steve Johnson,BUF,26,16,16,0,0,0,0,0,0,0,,0,148,79,1046,13.24,6,WR,139,20,20,56
57,Cecil Shorts,JAX,25,14,9,0,0,0,0,0,1,-4,-4.00,0,105,55,979,17.80,7,WR,138,19,21,57
58,Mikel Leshoure,DET,22,14,14,0,0,0,0,0,215,798,3.71,9,49,34,214,6.29,0,RB,149,19,21,58
59,Greg Olsen,CAR,27,16,16,0,0,0,0,0,0,0,,0,104,69,843,12.22,5,TE,114,17,6,59
60,Torrey Smith,BAL,23,16,16,0,0,0,0,0,3,9,3.00,0,110,49,855,17.45,8,WR,134,16,22,60
61,LeSean McCoy,PHI,24,12,12,0,0,0,0,0,200,840,4.20,2,67,54,373,6.91,3,RB,145,15,22,61
62,T.Y. Hilton,IND,23,15,1,0,1,0,0,0,5,29,5.80,0,90,50,861,17.22,7,WR,131,13,23,62
63,Dennis Pitta,BAL,27,16,5,0,0,0,0,0,0,0,,0,94,61,669,10.97,7,TE,109,12,7,63
64,Mike Wallace,PIT,26,15,14,0,0,0,0,0,5,7,1.40,0,119,64,836,13.06,8,WR,130,12,24,64
65,Darren Sproles,NOR,29,13,6,0,0,0,0,0,48,244,5.08,1,104,75,667,8.89,7,RB,141,11,23,65
66,Owen Daniels*,HOU,30,15,14,0,0,0,0,0,0,0,,0,104,62,716,11.55,6,TE,108,11,8,66
67,Miles Austin,DAL,28,16,15,0,0,0,0,0,0,0,,0,119,66,943,14.29,6,WR,128,10,25,67
68,Kyle Rudolph*,MIN,23,16,16,0,0,0,0,0,0,0,,0,93,53,493,9.30,9,TE,105,8,9,68
69,Brandon Myers,OAK,27,16,16,0,0,0,0,0,0,0,,0,105,79,806,10.20,4,TE,105,8,10,69
70,Jeremy Maclin,PHI,24,15,15,0,0,0,0,0,0,0,,0,122,69,857,12.42,7,WR,126,7,26,70
71,Jermaine Gresham*,CIN,24,16,15,0,0,0,0,0,0,0,,0,94,64,737,11.52,5,TE,102,5,11,71
72,Justin Blackmon,JAX,22,16,14,0,0,0,0,0,2,23,11.50,0,132,64,865,13.52,5,WR,121,2,27,72
