Rk,Name,Tm,Age,G,GS,PassCmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,RushY/A,RushTD,RecTgt,Rec,RecYds,RecY/R,RecTD,Pos,FantPt,VBD,PosRank,OvRank
23,Mike Wallace*,PIT,25,16,14,0,0,0,0,0,5,57,11.40,0,114,72,1193,16.57,8,WR,173,54,9,23
24,Tony Romo,DAL,31,16,16,346,522,4184,31,10,22,46,2.09,1,0,0,0,,0,QB,282,53,7,24
25,Matt Ryan,ATL,26,16,16,347,566,4177,29,12,37,84,2.27,2,0,0,0,,0,QB,281,53,8,25
26,Vincent Jackson*,SDG,28,16,16,0,0,0,0,0,3,51,17.00,0,115,60,1106,18.43,9,WR,170,51,10,26
27,Marques Colston,NOR,28,14,7,0,0,0,0,0,0,0,,0,107,80,1143,14.29,8,WR,162,43,11,27
28,Hakeem Nicks,NYG,23,15,15,0,0,0,0,0,0,0,,0,133,76,1192,15.68,7,WR,161,42,12,28
29,Ryan Mathews*,SDG,24,14,14,0,0,0,0,0,222,1091,4.91,6,59,50,455,9.10,0,RB,191,42,7,29
30,Brandon Marshall*,MIA,27,16,16,0,0,0,0,0,1,13,13.00,0,141,81,1214,14.99,6,WR,161,42,13,30
31,Adrian Peterson,MIN,26,12,12,0,0,0,0,0,208,970,4.66,12,24,18,139,7.72,1,RB,189,40,8,31
32,Aaron Hernandez,NWE,22,14,12,0,0,0,0,0,5,45,9.00,0,113,79,910,11.52,7,TE,138,40,3,32
33,Michael Bush,OAK,27,16,9,0,0,0,0,0,256,977,3.82,7,47,37,418,11.30,1,RB,188,39,9,33
34,Darren Sproles,NOR,28,16,4,0,0,0,0,0,87,603,6.93,2,111,86,710,8.26,7,RB,187,39,10,34
35,Philip Rivers*,SDG,30,16,16,366,582,4624,27,20,26,36,1.38,1,0,0,0,,0,QB,265,36,9,35
36,Steven Jackson,STL,28,15,15,0,0,0,0,0,260,1145,4.40,5,58,42,333,7.93,1,RB,184,35,11,36
37,A.J. Green*,CIN,23,15,15,0,0,0,0,0,5,53,10.60,0,115,65,1057,16.26,7,WR,153,34,14,37
38,Frank Gore*,SFO,28,16,15,0,0,0,0,0,282,1211,4.29,8,31,17,114,6.71,0,RB,183,34,12,38
39,Laurent Robinson,DAL,26,14,4,0,0,0,0,0,0,0,,0,80,54,858,15.89,11,WR,152,33,15,39
40,Tony Gonzalez*,ATL,35,16,16,0,0,0,0,0,0,0,,0,116,80,875,10.94,7,TE,130,32,4,40
41,Nate Washington,TEN,28,16,15,0,0,0,0,0,2,5,2.50,1,121,74,1023,13.82,7,WR,151,32,16,41
42,Reggie Bush,MIA,26,15,15,0,0,0,0,0,216,1086,5.03,6,52,43,296,6.88,1,RB,180,32,13,42
43,Julio Jones,ATL,22,13,13,0,0,0,0,0,6,56,9.33,0,95,54,959,17.76,8,WR,150,31,17,43
44,Greg Jennings*,GNB,28,13,13,0,0,0,0,0,0,0,,0,101,67,949,14.16,9,WR,149,30,18,44
45,Jermichael Finley,GNB,24,16,13,0,0,0,0,0,0,0,,0,92,55,767,13.95,8,TE,127,29,5,45
46,Dez Bryant,DAL,23,15,13,0,0,0,0,0,1,5,5.00,0,103,63,928,14.73,9,WR,147,28,19,46
47,Dwayne Bowe,KAN,27,16,14,0,0,0,0,0,1,12,12.00,0,142,81,1159,14.31,5,WR,147,28,20,47
48,Jason Witten,DAL,29,16,16,0,0,0,0,0,0,0,,0,117,79,942,11.92,5,TE,124,27,6,48
49,Mark Sanchez,NYJ,25,16,16,308,543,3474,26,18,37,103,2.78,6,0,0,0,,0,QB,255,26,10,49
50,Fred Jackson,BUF,30,10,10,0,0,0,0,0,170,934,5.49,6,50,39,442,11.33,0,RB,174,25,14,50
51,Matt Forte*,CHI,26,12,12,0,1,0,0,0,203,997,4.91,3,76,52,490,9.42,1,RB,173,24,15,51
52,Steve Johnson,BUF,25,16,16,0,0,0,0,0,0,0,,0,134,76,1004,13.21,7,WR,142,23,21,52
53,Antonio Gates*,SDG,31,13,13,0,0,0,0,0,0,0,,0,88,64,778,12.16,7,TE,120,22,7,53
54,Chris Johnson,TEN,26,16,16,0,0,0,0,0,262,1047,4.00,4,79,57,418,7.33,0,RB,171,22,16,54
55,Beanie Wells,ARI,23,15,14,0,0,0,0,0,245,1047,4.27,10,16,10,52,5.20,0,RB,170,21,17,55
56,Vernon Davis,SFO,27,16,16,0,0,0,0,0,2,-5,-2.50,0,95,67,792,11.82,6,TE,115,17,8,56
57,Pierre Garcon,IND,25,16,16,0,0,0,0,0,4,28,7.00,0,134,70,947,13.53,6,WR,134,15,22,57
58,Shonn Greene,NYJ,26,16,15,0,0,0,0,0,253,1054,4.17,6,41,30,211,7.03,0,RB,163,14,18,58
59,Dustin Keller,NYJ,27,16,12,0,0,0,0,0,0,0,,0,115,65,815,12.54,5,TE,112,14,9,59
60,Rashard Mendenhall,PIT,24,15,15,0,0,0,0,0,228,928,4.07,9,28,18,154,8.56,0,RB,162,14,19,60
61,Brent Celek,PHI,26,16,16,0,0,0,0,0,0,0,,0,98,62,811,13.08,5,TE,111,14,10,61
62,Michael Vick,PHI,31,13,13,253,423,3303,18,14,76,589,7.75,1,0,0,0,,0,QB,241,12,11,62
63,Ahmad Bradshaw,NYG,25,12,9,0,0,0,0,0,171,659,3.85,9,44,34,267,7.85,2,RB,161,12,20,63
64,Torrey Smith,BAL,22,16,14,0,0,0,0,0,4,39,9.75,0,95,50,841,16.82,7,WR,130,11,23,64
65,Brandon Pettigrew,DET,26,16,16,0,0,0,0,0,0,0,,0,126,83,777,9.36,5,TE,108,10,11,65
66,Brandon Lloyd,2TM,30,15,14,0,1,0,0,0,0,0,,0,148,70,966,13.80,5,WR,129,10,24,66
67,Willis McGahee*,DEN,30,15,14,0,0,0,0,0,249,1199,4.82,4,20,12,51,4.25,1,RB,157,8,21,67
68,Antonio Brown*,PIT,23,16,3,0,0,0,0,0,7,41,5.86,0,124,69,1108,16.06,2,WR,127,8,25,68
69,Jabar Gaffney,WAS,31,16,15,0,0,0,0,0,0,0,,0,114,68,947,13.93,5,WR,125,6,26,69
70,DeSean Jackson,PHI,25,15,15,0,0,0,0,0,7,41,5.86,0,104,58,961,16.57,4,WR,124,5,27,70
71,Mike Tolbert,SDG,26,15,1,0,0,0,0,0,121,490,4.05,8,79,54,433,8.02,2,RB,152,4,22,71
72,Darrius Heyward-Bey,OAK,24,15,14,0,0,0,0,0,0,0,,0,115,64,975,15.23,4,WR,122,3,28,72
73,Cedric Benson,CIN,29,15,15,0,0,0,0,0,273,1067,3.91,6,22,15,82,5.47,0,RB,151,2,23,73
74,Reggie Wayne,IND,33,16,16,0,0,0,0,0,0,0,,0,132,75,960,12.80,4,WR,120,1,29,74
75,Garrett Mills,NWE,28,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,,1,75
76,Ryan Fitzpatrick,BUF,29,16,16,353,569,3832,24,23,56,215,3.84,0,0,0,0,,0,QB,229,,12,76
77,BenJarvus Green-Ellis,NWE,26,16,6,0,0,0,0,0,181,667,3.69,11,13,9,159,17.67,0,RB,149,,24,77
78,C.J. Spiller,BUF,24,16,11,0,0,0,0,0,107,561,5.24,4,54,39,269,6.90,2,WR,119,,30,78
79,Ben Roethlisberger*,PIT,29,15,15,324,513,4077,21,14,31,70,2.26,0,0,0,0,,0,QB,226,,13,
80,Josh Freeman,TAM,23,15,15,346,551,3592,16,22,55,238,4.33,4,1,0,-4,,0,QB,225,,14,
81,Alex Smith,SFO,27,16,16,273,445,3144,17,5,52,179,3.44,2,0,0,0,,0,QB,216,,15,
82,Joe Flacco,BAL,26,16,16,312,542,3610,20,12,39,88,2.26,1,1,1,-8,-8.00,0,QB,214,,16,
83,Tim Tebow,DEN,24,14,11,126,271,1729,12,6,122,660,5.41,6,0,0,0,,0,QB,213,,17,
84,Andy Dalton*,CIN,24,16,16,300,516,3398,20,13,37,152,4.11,1,1,0,0,,0,QB,213,,18,
85,Matt Hasselbeck,TEN,36,16,16,319,518,3571,18,14,20,52,2.60,0,0,0,0,,0,QB,192,,19,
86,Tarvaris Jackson,SEA,28,15,14,271,450,3091,14,13,40,108,2.70,1,0,0,0,,0,QB,172,,20,
87,Matt Moore,MIA,27,13,12,210,347,2497,16,9,32,65,2.03,2,0,0,0,,0,QB,166,,21,
88,Colt McCoy,CLE,24,13,13,265,463,2733,14,11,61,212,3.48,0,1,1,-5,-5.00,0,QB,166,,22,
89,Matt Schaub,HOU,30,10,10,178,292,2479,15,6,15,9,0.60,2,0,0,0,,0,QB,160,,23,
90,Rex Grossman,WAS,31,13,13,265,458,3151,16,20,20,11,0.55,1,0,0,0,,0,QB,159,,24,
91,Jonathan Stewart,CAR,24,16,3,0,0,0,0,0,142,761,5.36,4,61,47,413,8.79,1,RB,147,,25,
92,Jay Cutler,CHI,28,10,10,182,314,2319,13,7,18,55,3.06,1,0,0,0,,0,QB,142,,25,
93,DeAngelo Williams,CAR,28,16,14,0,0,0,0,0,155,836,5.39,7,25,16,135,8.44,0,RB,139,,26,
94,Carson Palmer,OAK,32,10,9,199,328,2753,13,16,16,20,1.25,1,0,0,0,,0,QB,138,,26,
95,Pierre Thomas,NOR,27,16,7,0,0,0,0,0,110,562,5.11,5,59,50,425,8.50,1,RB,137,,27,
96,Ben Tate,HOU,23,15,2,0,0,0,0,0,175,942,5.38,4,19,13,98,7.54,0,RB,128,,28,
97,Blaine Gabbert,JAX,22,15,14,210,413,2214,12,11,48,98,2.04,0,0,0,0,,0,QB,124,,27,
98,LeGarrette Blount,TAM,25,14,14,0,0,0,0,0,184,781,4.24,5,25,15,148,9.87,0,RB,123,,29,
99,Christian Ponder,MIN,23,11,10,158,291,1853,13,13,28,219,7.82,0,0,0,0,,0,QB,122,,28,
100,DeMarco Murray,DAL,23,13,7,0,0,0,0,0,164,897,5.47,2,35,26,183,7.04,0,RB,120,,30,
101,Roy Helu,WAS,23,15,5,0,0,0,0,0,151,640,4.24,2,59,49,379,7.73,1,RB,120,,32,
102,Brandon Jacobs,NYG,29,14,6,0,0,0,0,0,152,571,3.76,7,23,15,128,8.53,1,RB,120,,31,
103,Malcom Floyd,SDG,30,12,9,0,0,0,0,0,0,0,,0,70,43,856,19.91,5,WR,116,,33,
104,Santonio Holmes,NYJ,27,16,16,0,0,0,0,0,3,27,9.00,0,101,51,654,12.82,8,WR,116,,31,
105,Jeremy Maclin,PHI,23,13,13,0,0,0,0,0,1,1,1.00,0,96,63,859,13.63,5,WR,116,,32,
106,Lance Moore,NOR,28,14,7,0,0,0,0,0,0,0,,0,73,52,627,12.06,8,WR,115,,34,
107,Michael Crabtree,SFO,24,15,14,0,0,0,0,0,1,6,6.00,0,115,72,874,12.14,4,WR,114,,35,
108,Plaxico Burress,NYJ,34,16,13,0,0,0,0,0,0,0,,0,96,45,612,13.60,8,WR,109,,37,
109,Eric Decker,DEN,24,16,13,0,1,0,0,0,1,1,1.00,0,96,44,612,13.91,8,WR,109,,36,
110,Kevin Kolb,ARI,27,9,9,146,253,1955,9,8,17,65,3.82,0,0,0,0,,0,QB,107,,30,
111,John Skelton,ARI,23,8,7,151,275,1913,11,14,28,128,4.57,0,0,0,0,,0,QB,107,,29,
112,Darren McFadden,OAK,24,7,7,0,0,0,0,0,113,614,5.43,4,23,19,154,8.11,1,RB,107,,33,
113,Anquan Boldin,BAL,31,14,14,0,0,0,0,0,0,0,,0,106,57,887,15.56,3,WR,107,,38,
114,Denarius Moore,OAK,23,13,10,0,0,0,0,0,5,61,12.20,1,76,33,618,18.73,5,WR,106,,39,
115,James Jones,GNB,27,16,0,0,0,0,0,0,0,0,,0,55,38,635,16.71,7,WR,106,,40,
116,Donald Brown,IND,24,16,2,0,0,0,0,0,134,645,4.81,5,19,16,86,5.38,0,RB,103,,34,
117,Doug Baldwin,SEA,23,16,1,0,0,0,0,0,1,-2,-2.00,0,85,51,788,15.45,4,WR,103,,41,
118,Nate Burleson,DET,30,16,11,0,0,0,0,0,11,85,7.73,0,110,73,757,10.37,3,WR,102,,42,
119,Ryan Grant,GNB,29,15,14,0,0,0,0,0,134,559,4.17,2,24,19,268,14.11,1,RB,101,,35,
120,Sam Bradford,STL,24,10,10,191,357,2164,6,6,18,26,1.44,0,0,0,0,,0,QB,101,,31,
121,Deion Branch,NWE,32,15,15,0,0,0,0,0,0,0,,0,90,51,702,13.76,5,WR,100,,45,
122,Matt Cassel,KAN,29,9,9,160,269,1713,10,9,25,99,3.96,0,1,1,-4,-4.00,0,QB,100,,32,
123,Titus Young,DET,22,16,9,0,0,0,0,0,2,15,7.50,0,86,48,607,12.65,6,WR,100,,44,
124,Robert Meachem,NOR,27,16,8,0,0,0,0,0,4,18,4.50,0,60,40,620,15.50,6,WR,100,,46,
125,Miles Austin,DAL,27,10,10,0,0,0,0,0,2,3,1.50,0,73,43,579,13.47,7,WR,100,,43,
126,Mike Williams,TAM,24,16,15,0,0,0,0,0,1,3,3.00,0,124,65,771,11.86,3,WR,99,,47,
127,Early Doucet,ARI,26,16,6,0,0,0,0,0,0,0,,0,97,54,689,12.76,5,WR,99,,48,
128,Jerome Simpson,CIN,25,16,14,0,0,0,0,0,0,0,,0,105,50,725,14.50,4,WR,99,,49,
129,Fred Davis,WAS,25,12,12,0,0,0,0,0,0,0,,0,88,59,796,13.49,3,TE,98,,12,
130,David Nelson,BUF,25,16,13,0,0,0,0,0,0,0,,0,97,61,658,10.79,5,WR,98,,50,
131,Jermaine Gresham*,CIN,23,14,13,0,0,0,0,0,0,0,,0,92,56,596,10.64,6,TE,96,,13,
132,Toby Gerhart,MIN,24,16,5,0,0,0,0,0,109,531,4.87,1,28,23,190,8.26,3,RB,96,,36,
133,Dexter McCluster,KAN,22,16,4,0,0,0,0,0,114,516,4.53,1,64,46,328,7.13,1,WR,96,,51,
134,Kevin Smith,DET,25,7,4,0,0,0,0,0,72,356,4.94,4,28,22,179,8.14,3,RB,96,,37,
135,Kellen Winslow,TAM,28,16,15,0,0,0,0,0,0,0,,0,120,75,763,10.17,2,TE,94,,14,
136,Jared Cook,TEN,24,16,5,0,0,0,0,0,0,0,,0,81,49,759,15.49,3,TE,94,,15,
137,Steve Breaston,KAN,28,16,13,0,0,0,0,0,1,25,25.00,0,98,61,785,12.87,2,WR,93,,52,
138,LaDainian Tomlinson,NYJ,32,14,1,0,0,0,0,0,75,280,3.73,1,61,42,449,10.69,2,RB,91,,38,
139,Kyle Orton,2TM,29,9,8,150,252,1758,9,9,11,13,1.18,0,0,0,0,,0,QB,90,,33,
140,Peyton Hillis,CLE,25,10,9,0,0,0,0,0,161,587,3.65,3,34,22,130,5.91,0,RB,90,,39,
141,Damian Williams,TEN,23,15,13,0,0,0,0,0,0,0,,0,94,45,592,13.16,5,WR,89,,53,
142,Jahvid Best,DET,22,6,6,0,0,0,0,0,84,390,4.64,2,40,27,287,10.63,1,RB,86,,40,
143,Greg Olsen,CAR,26,16,13,0,0,0,0,0,0,0,,0,89,45,540,12.00,5,TE,86,,16,
144,Owen Daniels,HOU,29,15,15,0,0,0,0,0,0,0,,0,85,54,677,12.54,3,TE,86,,17,
145,Felix Jones,DAL,24,12,8,0,0,0,0,0,127,575,4.53,1,45,33,221,6.70,0,RB,86,,41,
146,Jason Campbell,OAK,30,6,6,100,165,1170,6,4,18,60,3.33,2,0,0,0,,0,QB,85,,34,
147,Johnny Knox,CHI,25,14,11,0,0,0,0,0,0,0,,0,69,37,727,19.65,2,WR,85,,54,
148,James Starks,GNB,25,13,2,0,0,0,0,0,133,578,4.35,1,37,29,216,7.45,0,RB,85,,42,
149,Greg Little,CLE,22,16,12,0,0,0,0,0,3,15,5.00,0,119,61,709,11.62,2,WR,84,,55,
150,Jake Ballard,NYG,24,14,13,0,0,0,0,0,0,0,,0,61,38,604,15.89,4,TE,84,,18,
151,Marion Barber,CHI,28,11,1,0,0,0,0,0,114,422,3.70,6,9,5,50,10.00,0,RB,83,,43,
152,Ed Dickson,BAL,24,16,16,0,0,0,0,0,0,0,,0,89,54,528,9.78,5,TE,83,,19,
153,Santana Moss,WAS,32,12,12,0,0,0,0,0,0,0,,0,95,46,584,12.70,4,WR,82,,56,
154,Mark Ingram,NOR,22,10,4,0,0,0,0,0,122,474,3.89,5,13,11,46,4.18,0,RB,82,,44,
155,Donald Driver,GNB,36,16,15,0,0,0,0,0,0,0,,0,56,37,445,12.03,6,WR,81,,57,
156,Curtis Painter,IND,26,9,8,132,243,1541,6,9,17,107,6.29,0,0,0,0,,0,QB,80,,35,
157,Demaryius Thomas,DEN,24,11,5,0,1,0,0,0,1,5,5.00,0,70,32,551,17.22,4,WR,80,,58,
158,Jackie Battle,KAN,28,15,4,0,0,0,0,0,149,597,4.01,2,13,9,68,7.56,0,RB,79,,46,
159,Kendall Hunter,SFO,23,16,1,0,0,0,0,0,112,473,4.22,2,26,16,195,12.19,0,RB,79,,45,
160,Brandon LaFell,CAR,25,16,6,0,0,0,0,0,0,0,,0,56,36,613,17.03,3,WR,79,,59,
161,Josh Cribbs,CLE,28,16,7,0,0,0,0,0,7,25,3.57,0,67,41,518,12.63,4,WR,78,,60,
162,Heath Miller,PIT,29,16,16,0,0,0,0,0,1,6,6.00,0,74,51,631,12.37,2,TE,76,,20,
163,Mario Manningham,NYG,25,12,10,0,0,0,0,0,0,0,,0,77,39,523,13.41,4,WR,76,,61,
164,Scott Chandler,BUF,26,14,9,0,0,0,0,0,0,0,,0,46,38,389,10.24,6,TE,75,,22,
165,Anthony Fasano,MIA,27,15,15,0,0,0,0,0,0,0,,0,54,32,451,14.09,5,TE,75,,21,
166,Dezmon Briscoe,TAM,22,16,2,0,0,0,0,0,0,0,,0,51,35,387,11.06,6,WR,75,,62,
167,Jason Avant,PHI,28,16,7,0,0,0,0,0,0,0,,0,81,52,679,13.06,1,WR,74,,63,
168,Isaac Redman,PIT,27,16,1,0,0,0,0,0,110,479,4.35,3,22,18,78,4.33,0,RB,74,,47,
169,Andre Roberts,ARI,23,16,16,0,0,0,0,0,3,27,9.00,0,98,51,586,11.49,2,WR,73,,64,
170,Davone Bess,MIA,26,16,4,0,0,0,0,0,2,9,4.50,0,86,51,537,10.53,3,WR,73,,66,
171,Preston Parker,TAM,24,16,0,0,0,0,0,0,1,-3,-3.00,0,65,40,554,13.85,3,WR,73,,65,
172,Tony Scheffler,DET,28,15,5,0,0,0,0,0,1,5,5.00,0,43,26,347,13.35,6,TE,73,,23,
173,Daniel Thomas,MIA,24,13,2,0,0,0,0,0,165,581,3.52,0,16,12,72,6.00,1,RB,71,,48,
174,Joel Dreessen,HOU,29,16,10,0,0,0,0,0,0,0,,0,39,28,353,12.61,6,TE,71,,24,
175,Jeremy Shockey,CAR,31,15,13,0,0,0,0,0,0,0,,0,62,37,455,12.30,4,TE,70,,25,
176,Lance Ball,DEN,26,16,0,0,0,0,0,0,96,402,4.19,1,32,16,148,9.25,1,RB,67,,49,
177,Maurice Morris,DET,32,16,5,0,0,0,0,0,80,316,3.95,1,35,26,230,8.85,1,RB,67,,50,
178,Dan Orlovsky,IND,28,8,5,122,193,1201,6,4,6,5,0.83,0,0,0,0,,0,QB,65,,37,
179,Donovan McNabb,MIN,35,6,6,94,156,1026,4,2,14,59,4.21,1,0,0,0,,0,QB,65,,36,
180,Jacoby Jones,HOU,27,16,10,0,0,0,0,0,4,17,4.25,0,65,31,512,16.52,2,WR,65,,68,
181,Kevin Walter,HOU,30,15,14,0,0,0,0,0,0,0,,0,59,39,474,12.15,3,WR,65,,67,
182,Michael Jenkins,MIN,29,11,7,0,0,0,0,0,0,0,,0,55,38,466,12.26,3,WR,65,,69,
183,Ricky Williams,BAL,34,16,0,0,0,0,0,0,108,444,4.11,2,20,13,83,6.38,0,RB,65,,51,
184,Devery Henderson,NOR,29,16,13,0,0,0,0,0,1,9,9.00,0,50,32,503,15.72,2,WR,63,,70,
185,Sidney Rice,SEA,25,9,9,1,1,55,0,0,2,3,1.50,0,57,32,484,15.13,2,WR,63,,71,
186,Roy Williams,CHI,30,15,9,0,0,0,0,0,0,0,,0,63,37,507,13.70,2,WR,63,,72,
187,Andre Johnson,HOU,30,7,7,0,0,0,0,0,1,8,8.00,0,51,33,492,14.91,2,WR,62,,73,
188,Brian Hartline,MIA,25,16,10,0,0,0,0,0,1,9,9.00,0,66,35,549,15.69,1,WR,62,,74,
189,Arrelious Benn,TAM,23,14,14,0,0,0,0,0,6,-7,-1.17,0,51,30,441,14.70,3,WR,61,,75,
190,Danny Woodhead,NWE,26,15,4,0,0,0,0,0,77,351,4.56,1,31,18,157,8.72,0,RB,61,,52,
191,Bernard Scott,CIN,27,16,1,0,1,0,0,0,112,380,3.39,3,17,13,38,2.92,0,RB,60,,53,
192,Chad Henne,MIA,26,4,4,64,112,868,4,4,15,112,7.47,1,0,0,0,,0,QB,60,,38,
193,Ben Obomanu,SEA,28,16,7,0,0,0,0,0,1,13,13.00,0,61,37,436,11.78,2,WR,59,,77,
194,Austin Collie,IND,26,16,5,0,0,0,0,0,0,0,,0,96,54,514,9.52,1,WR,59,,76,
195,Dennis Pitta,BAL,26,16,2,0,0,0,0,0,0,0,,0,56,40,405,10.13,3,TE,59,,27,
196,Visanthe Shiancoe,MIN,31,16,14,0,0,0,0,0,0,0,,0,70,36,409,11.36,3,TE,59,,26,
197,Joseph Addai,IND,28,12,11,0,0,0,0,0,118,433,3.67,1,22,15,93,6.20,0,RB,59,,54,
198,Golden Tate,SEA,23,16,5,0,0,0,0,0,5,14,2.80,0,58,35,382,10.91,3,WR,58,,78,
199,Chris Ogbonnaya,2TM,25,13,4,0,0,0,0,0,76,340,4.47,1,31,23,165,7.17,0,RB,57,,55,
200,Harry Douglas,ATL,27,16,4,0,0,0,0,0,1,3,3.00,0,62,39,498,12.77,1,WR,56,,79,
201,Legedu Naanee,CAR,28,15,10,1,1,27,0,0,0,0,,0,76,44,467,10.61,1,WR,56,,80,
202,Evan Moore,CLE,26,16,4,0,0,0,0,0,0,0,,0,46,34,324,9.53,4,TE,56,,28,
203,Jason Hill,JAX,26,10,10,0,0,0,0,0,0,0,,0,55,25,367,14.68,3,WR,55,,82,
204,Danario Alexander,STL,25,10,5,0,0,0,0,0,0,0,,0,60,26,431,16.58,2,WR,55,,81,
205,Kevin Boss,OAK,27,14,11,0,0,0,0,0,0,0,,0,40,28,368,13.14,3,TE,55,,29,
206,John Beck,WAS,30,4,3,80,132,858,2,4,10,43,4.30,2,0,0,0,,0,QB,53,,39,
207,Kahlil Bell,CHI,25,13,3,0,0,0,0,0,79,337,4.27,0,23,19,133,7.00,1,RB,53,,57,
208,Marcel Reece,OAK,26,12,6,0,0,0,0,0,17,112,6.59,0,36,27,301,11.15,2,RB,53,,56,
209,Devin Aromashodu,MIN,27,16,6,0,0,0,0,0,0,0,,0,84,26,468,18.00,1,WR,53,,84,
210,Ben Watson,CLE,31,13,11,0,0,0,0,0,0,0,,0,70,37,410,11.08,2,TE,53,,30,
211,Lavelle Hawkins,TEN,25,16,2,0,0,0,0,0,0,0,,0,77,47,470,10.00,1,WR,53,,83,
212,Thomas Jones,KAN,33,16,8,0,0,0,0,0,153,478,3.12,0,7,5,43,8.60,0,RB,52,,58,
213,Tim Hightower,WAS,25,5,5,0,0,0,0,0,84,321,3.82,1,15,10,78,7.80,1,RB,52,,60,
214,Delone Carter,IND,24,16,3,0,0,0,0,0,101,377,3.73,2,8,5,18,3.60,0,RB,52,,62,
215,John Kuhn*,GNB,29,16,3,0,0,0,0,0,30,78,2.60,4,18,15,77,5.13,2,RB,52,,61,
216,LaRod Stephens-Howling,ARI,24,14,1,0,0,0,0,0,43,167,3.88,0,17,13,234,18.00,2,RB,52,,59,
217,Joe Webb,MIN,25,11,1,34,63,376,3,2,22,154,7.00,2,5,1,9,9.00,0,WR,51,,85,
218,Brandon Gibson,STL,24,15,9,0,0,0,0,0,2,16,8.00,0,71,36,431,11.97,1,WR,51,,86,
219,Kellen Davis,CHI,26,16,15,0,0,0,0,0,0,0,,0,35,18,206,11.44,5,TE,51,,31,
220,Jacquizz Rodgers,ATL,21,16,0,0,0,0,0,0,57,205,3.60,1,27,21,188,8.95,1,RB,51,,65,
221,Cadillac Williams,STL,29,12,1,0,0,0,0,0,87,361,4.15,1,23,14,93,6.64,0,RB,51,,63,
222,Stevan Ridley,NWE,22,16,2,0,0,0,0,0,87,441,5.07,1,5,3,13,4.33,0,RB,51,,64,
223,Hines Ward,PIT,35,15,9,0,0,0,0,0,0,0,,0,63,46,381,8.28,2,WR,50,,88,
224,Mohamed Massaquoi,CLE,25,14,13,0,0,0,0,0,0,0,,0,74,31,384,12.39,2,WR,50,,87,
225,T.J. Yates,HOU,24,6,5,82,134,949,3,3,14,57,4.07,0,0,0,0,,0,QB,50,,40,
