Rk,Name,Tm,Age,G,GS,PassCmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,RushY/A,RushTD,RecTgt,Rec,RecYds,RecY/R,RecTD,Pos,FantPt,VBD,PosRank,OvRank
1,Aaron Rodgers*+,GNB,28,15,15,343,502,4643,45,6,60,257,4.28,3,0,0,0,,0,QB,399,171,1,1
2,Drew Brees*,NOR,32,16,16,468,657,5476,46,14,21,86,4.10,1,0,0,0,,0,QB,396,167,2,2
3,Ray Rice*,BAL,24,16,16,1,1,1,1,0,291,1364,4.69,12,104,76,704,9.26,3,RB,301,152,1,3
4,Calvin Johnson*+,DET,26,16,16,0,0,0,0,0,1,11,11.00,0,158,96,1681,17.51,16,WR,267,148,1,4
5,Cam Newton*,CAR,22,16,16,310,517,4051,21,17,126,706,5.60,14,1,1,27,27.00,0,QB,375,147,3,5
6,Rob Gronkowski*+,NWE,22,16,16,0,0,0,0,0,1,2,2.00,1,124,90,1327,14.74,17,TE,241,143,1,6
7,Tom Brady*,NWE,34,16,16,401,611,5235,39,12,43,109,2.53,3,0,0,0,,0,QB,370,142,4,7
8,LeSean McCoy*+,PHI,23,15,15,0,0,0,0,0,273,1309,4.79,17,69,48,315,6.56,3,RB,282,134,2,8
9,Matthew Stafford,DET,23,16,16,421,663,5038,41,16,22,78,3.55,0,0,0,0,,0,QB,347,119,5,9
10,Maurice Jones-Drew*+,JAX,26,16,16,0,0,0,0,0,343,1606,4.68,8,64,43,374,8.70,3,RB,264,115,3,10
11,Arian Foster*,HOU,25,13,13,0,0,0,0,0,278,1224,4.40,10,72,53,617,11.64,2,RB,256,108,4,11
12,Jimmy Graham*,NOR,25,16,11,0,0,0,0,0,0,0,,0,149,99,1310,13.23,11,TE,197,99,2,12
13,Jordy Nelson,GNB,26,16,9,0,0,0,0,0,0,0,,0,96,68,1263,18.57,15,WR,216,97,2,13
14,Wes Welker*+,NWE,30,16,15,0,0,0,0,0,4,30,7.50,0,173,122,1569,12.86,9,WR,214,95,3,14
15,Victor Cruz,NYG,25,16,7,0,0,0,0,0,1,3,3.00,0,131,82,1536,18.73,9,WR,208,89,4,15
16,Marshawn Lynch*,SEA,25,15,15,0,2,0,0,0,285,1204,4.22,12,41,28,212,7.57,1,RB,220,71,5,16
17,Larry Fitzgerald*,ARI,28,16,16,0,0,0,0,0,0,0,,0,154,80,1411,17.64,8,WR,189,70,5,17
18,Steve Smith*,CAR,32,16,16,0,0,0,0,0,6,56,9.33,0,129,79,1394,17.65,7,WR,189,70,6,18
19,Michael Turner,ATL,29,16,15,0,0,0,0,0,301,1340,4.45,11,26,17,168,9.88,0,RB,217,68,6,19
20,Percy Harvin,MIN,23,16,14,0,0,0,0,0,52,345,6.63,2,121,87,967,11.11,6,WR,179,60,7,20
21,Eli Manning*,NYG,30,16,16,359,589,4933,29,16,35,15,0.43,1,0,0,0,,0,QB,289,60,6,21
22,Roddy White*,ATL,30,16,16,0,0,0,0,0,0,0,,0,180,100,1296,12.96,8,WR,178,59,8,22
