Rk,Name,Tm,Age,G,GS,PassCmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,RushY/A,RushTD,RecTgt,Rec,RecYds,RecY/R,RecTD,Pos,FantPt,VBD,PosRank,OvRank
1,Michael Vick*,PHI,30,12,12,233,372,3018,21,6,100,676,6.76,9,0,0,0,,0,QB,316,197,1,1
2,Arian Foster*+,HOU,24,16,13,0,0,0,0,0,327,1616,4.94,16,84,66,604,9.15,2,RB,330,192,1,2
3,Jamaal Charles*+,KAN,24,16,6,0,0,0,0,0,230,1467,6.38,5,64,45,468,10.40,3,RB,242,122,2,3
4,Peyton Hillis,CLE,24,16,14,1,2,13,0,0,270,1177,4.36,11,77,61,477,7.82,2,RB,244,106,2,4
5,Adrian Peterson*,MIN,25,15,15,0,0,0,0,0,283,1298,4.59,12,50,36,341,9.47,1,RB,242,104,3,5
6,Chris Johnson*,TEN,25,16,16,0,0,0,0,0,316,1364,4.32,11,57,44,245,5.57,1,RB,233,95,4,6
7,Brandon Lloyd*,DEN,29,16,11,0,0,0,0,0,1,-18,-18.00,0,153,77,1448,18.81,11,WR,209,89,3,7
8,Darren McFadden,OAK,23,13,13,0,1,0,0,0,223,1157,5.19,7,61,47,507,10.79,3,RB,226,89,5,8
9,Dwayne Bowe*,KAN,26,16,16,0,0,0,0,0,1,4,4.00,0,133,72,1162,16.14,15,WR,207,87,4,9
10,Rashard Mendenhall,PIT,23,16,16,0,0,0,0,0,324,1273,3.93,13,34,23,167,7.26,0,RB,222,84,6,10
11,Roddy White*+,ATL,29,16,16,0,0,0,0,0,1,3,3.00,0,179,115,1389,12.08,10,WR,203,84,5,11
12,LeSean McCoy,PHI,22,15,13,0,0,0,0,0,207,1080,5.22,7,91,78,592,7.59,2,RB,221,83,7,12
13,Matt Forte,CHI,25,16,16,0,0,0,0,0,237,1069,4.51,6,70,51,547,10.73,3,RB,218,80,8,13
14,Michael Turner*,ATL,28,16,15,0,0,0,0,0,334,1371,4.10,12,20,12,85,7.08,0,RB,218,80,9,14
15,Greg Jennings*,GNB,27,16,16,0,0,0,0,0,1,-1,-1.00,0,125,76,1265,16.64,12,WR,198,79,6,15
16,Aaron Rodgers,GNB,27,15,15,312,475,3922,28,11,64,356,5.56,4,0,0,0,,0,QB,306,77,1,16
17,Ray Rice,BAL,23,16,14,0,0,0,0,0,307,1220,3.97,5,83,63,556,8.83,1,RB,214,76,10,17
18,Tom Brady*+,NWE,33,16,16,324,492,3900,36,4,31,30,0.97,1,0,0,0,,0,QB,301,71,2,18
19,Mike Wallace,PIT,24,16,16,0,0,0,0,0,5,39,7.80,0,98,60,1257,20.95,10,WR,190,70,7,19
20,Calvin Johnson*,DET,25,15,15,0,0,0,0,0,4,32,8.00,0,137,77,1120,14.55,12,WR,189,70,8,20
21,Ahmad Bradshaw,NYG,24,16,11,0,0,0,0,0,276,1235,4.47,8,58,47,314,6.68,0,RB,205,67,11,21
22,Maurice Jones-Drew*,JAX,25,14,14,0,1,0,0,1,299,1324,4.43,5,44,34,317,9.32,2,RB,204,66,12,22
23,Steven Jackson*,STL,27,16,16,0,0,0,0,0,330,1241,3.76,6,62,46,383,8.33,0,RB,198,61,13,23
24,Jason Witten*+,DAL,28,16,16,0,0,0,0,0,0,0,,0,128,94,1002,10.66,9,TE,156,60,1,24
25,Philip Rivers*,SDG,29,16,16,357,541,4710,30,13,29,52,1.79,0,0,0,0,,0,QB,290,60,3,25
26,Peyton Manning*,IND,34,16,16,450,679,4700,33,17,18,18,1.00,0,0,0,0,,0,QB,288,58,4,26
27,Reggie Wayne*+,IND,32,16,16,0,0,0,0,0,0,0,,0,175,111,1355,12.21,6,WR,172,52,9,27
28,Hakeem Nicks,NYG,22,13,12,0,0,0,0,0,0,0,,0,128,79,1052,13.32,11,WR,171,52,10,28
29,Andre Johnson*,HOU,29,13,13,0,0,0,0,0,2,10,5.00,0,138,86,1216,14.14,8,WR,171,51,11,29
30,BenJarvus Green-Ellis,NWE,25,16,11,0,0,0,0,0,229,1008,4.40,13,16,12,85,7.08,0,RB,187,50,14,30
31,Steve Johnson,BUF,24,16,13,0,0,0,0,0,0,0,,0,141,82,1073,13.09,10,WR,167,48,12,31
32,Drew Brees*,NOR,31,16,16,448,658,4620,33,22,18,-3,-0.17,0,1,1,7,7.00,0,QB,273,43,5,32
33,Mike Williams,TAM,23,16,16,0,0,0,0,0,0,0,,0,129,65,964,14.83,11,WR,162,43,13,33
34,Antonio Gates*,SDG,30,10,10,0,0,0,0,0,0,0,,0,65,50,782,15.64,10,TE,138,42,2,34
35,Miles Austin*,DAL,26,16,16,0,0,0,0,0,7,93,13.29,1,119,69,1041,15.09,7,WR,161,42,14,35
36,Cedric Benson,CIN,28,16,16,0,0,0,0,0,321,1111,3.46,7,37,28,178,6.36,1,RB,179,41,15,36
37,Jeremy Maclin,PHI,22,16,16,0,0,0,0,0,3,36,12.00,0,115,70,964,13.77,10,WR,160,40,15,37
38,Vernon Davis,SFO,26,16,16,0,0,0,0,0,0,0,,0,93,56,914,16.32,7,TE,135,39,3,38
39,DeSean Jackson*,PHI,24,14,14,0,0,0,0,0,16,104,6.50,1,95,47,1056,22.47,6,WR,158,38,16,39
40,Josh Freeman,TAM,22,16,16,291,474,3451,25,6,68,364,5.35,0,0,0,0,,0,QB,264,35,6,40
41,Marcedes Lewis*,JAX,26,16,16,0,0,0,0,0,0,0,,0,89,58,700,12.07,10,TE,130,34,4,41
42,Terrell Owens,CIN,37,14,11,0,0,0,0,0,0,0,,0,139,72,983,13.65,9,WR,152,33,17,42
43,Larry Fitzgerald*,ARI,27,16,15,0,0,0,0,0,0,0,,0,173,90,1137,12.63,6,WR,152,32,18,43
